fur_color,height,weight,eye_color,prehistoric
grey,179 cm,71 kg,black,FALSE
brown,179 cm,75 kg,blue,FALSE
white,177 cm,60 kg,dark brown,TRUE
white,179 cm,64 kg,blue,TRUE
calico,176 cm,77 kg,blue,FALSE
black,173 cm,71 kg,dark brown,FALSE
orange,178 cm,73 kg,black,FALSE
red,174 cm,90 kg,black,FALSE
red,178 cm,71 kg,brown,FALSE
calico,170 cm,88 kg,dark brown,FALSE
orange,180 cm,74 kg,black,FALSE
grey,175 cm,75 kg,blue,FALSE
black,170 cm,73 kg,dark brown,FALSE
calico,170 cm,78 kg,brown,FALSE
red,177 cm,73 kg,dark brown,FALSE
calico,175 cm,70 kg,blue,FALSE
brown,179 cm,75 kg,black,FALSE
brown,176 cm,69 kg,green,FALSE
black,180 cm,76 kg,green,FALSE
white,179 cm,67 kg,dark brown,TRUE
dark grey,177 cm,68 kg,dark brown,FALSE
white,175 cm,72 kg,green,TRUE
brown,171 cm,67 kg,black,FALSE
calico,177 cm,76 kg,brown,FALSE
white,173 cm,61 kg,blue,TRUE
orange,174 cm,65 kg,brown,FALSE
white,179 cm,80 kg,black,TRUE
grey,175 cm,78 kg,blue,FALSE
black,179 cm,82 kg,green,FALSE
grey,174 cm,89 kg,blue,FALSE
grey,177 cm,73 kg,green,FALSE
white,175 cm,86 kg,green,TRUE
orange,173 cm,88 kg,green,FALSE
grey,171 cm,65 kg,dark brown,FALSE
grey,171 cm,84 kg,green,FALSE
grey,178 cm,89 kg,green,FALSE
black,173 cm,87 kg,brown,FALSE
dark grey,178 cm,63 kg,green,FALSE
dark grey,176 cm,61 kg,green,FALSE
grey,174 cm,86 kg,brown,FALSE
red,171 cm,67 kg,blue,FALSE
black,178 cm,61 kg,brown,FALSE
grey,177 cm,89 kg,brown,FALSE
red,172 cm,72 kg,blue,FALSE
orange,177 cm,90 kg,blue,FALSE
black,174 cm,86 kg,blue,FALSE
red,173 cm,60 kg,brown,FALSE
grey,180 cm,74 kg,brown,FALSE
red,177 cm,66 kg,black,FALSE
orange,175 cm,78 kg,green,FALSE
brown,170 cm,72 kg,green,FALSE
dark grey,170 cm,62 kg,green,FALSE
brown,171 cm,66 kg,black,FALSE
brown,177 cm,75 kg,blue,FALSE
white,179 cm,80 kg,black,TRUE
brown,173 cm,85 kg,dark brown,FALSE
brown,180 cm,79 kg,dark brown,FALSE
red,175 cm,83 kg,green,FALSE
red,177 cm,75 kg,blue,FALSE
calico,176 cm,60 kg,blue,FALSE
grey,170 cm,66 kg,black,FALSE
dark grey,176 cm,77 kg,blue,FALSE
brown,174 cm,71 kg,black,FALSE
brown,177 cm,75 kg,blue,FALSE
black,179 cm,67 kg,black,FALSE
red,177 cm,66 kg,dark brown,FALSE
black,172 cm,71 kg,dark brown,FALSE
white,175 cm,84 kg,blue,TRUE
grey,175 cm,83 kg,blue,FALSE
white,170 cm,74 kg,dark brown,TRUE
brown,171 cm,88 kg,brown,FALSE
brown,173 cm,87 kg,brown,FALSE
calico,171 cm,64 kg,brown,FALSE
calico,180 cm,82 kg,dark brown,FALSE
brown,172 cm,79 kg,blue,FALSE
red,170 cm,86 kg,black,FALSE
orange,177 cm,61 kg,green,FALSE
orange,180 cm,83 kg,brown,FALSE
calico,171 cm,80 kg,black,FALSE
calico,224 cm,107 kg,dark brown,TRUE
white,230 cm,131 kg,dark brown,TRUE
calico,220 cm,127 kg,black,TRUE
black,204 cm,107 kg,dark brown,FALSE
calico,200 cm,138 kg,brown,FALSE
black,213 cm,109 kg,brown,FALSE
brown,202 cm,118 kg,black,FALSE
black,215 cm,81 kg,black,FALSE
orange,204 cm,131 kg,green,FALSE
red,201 cm,104 kg,blue,FALSE
grey,214 cm,94 kg,black,FALSE
grey,231 cm,122 kg,green,TRUE
grey,237 cm,136 kg,black,TRUE
orange,207 cm,128 kg,dark brown,FALSE
brown,215 cm,140 kg,green,FALSE
brown,230 cm,91 kg,green,TRUE
red,209 cm,136 kg,blue,FALSE
red,241 cm,90 kg,blue,TRUE
red,233 cm,80 kg,dark brown,TRUE
calico,244 cm,140 kg,green,TRUE
black,219 cm,125 kg,green,FALSE
brown,249 cm,93 kg,brown,TRUE
brown,213 cm,83 kg,blue,FALSE
black,211 cm,106 kg,dark brown,FALSE
red,219 cm,98 kg,dark brown,FALSE
calico,228 cm,140 kg,black,TRUE
grey,241 cm,118 kg,black,TRUE
dark grey,202 cm,131 kg,dark brown,FALSE
brown,220 cm,93 kg,brown,TRUE
black,249 cm,110 kg,black,TRUE
black,219 cm,100 kg,black,FALSE
red,240 cm,118 kg,black,TRUE
red,210 cm,88 kg,brown,FALSE
brown,213 cm,108 kg,brown,FALSE
white,215 cm,108 kg,brown,TRUE
red,233 cm,129 kg,black,TRUE
orange,238 cm,121 kg,green,TRUE
dark grey,229 cm,97 kg,blue,TRUE
brown,245 cm,140 kg,black,TRUE
black,201 cm,80 kg,brown,FALSE
orange,241 cm,86 kg,dark brown,TRUE
black,221 cm,103 kg,blue,TRUE
red,204 cm,123 kg,dark brown,FALSE
white,209 cm,100 kg,black,TRUE
white,248 cm,110 kg,dark brown,TRUE
calico,240 cm,98 kg,brown,TRUE
calico,244 cm,83 kg,dark brown,TRUE
grey,226 cm,98 kg,dark brown,TRUE
red,211 cm,83 kg,blue,FALSE
white,231 cm,97 kg,dark brown,TRUE
red,250 cm,138 kg,black,TRUE
red,203 cm,133 kg,blue,FALSE
orange,205 cm,97 kg,black,FALSE
red,218 cm,129 kg,green,FALSE
orange,229 cm,95 kg,brown,TRUE
black,201 cm,96 kg,black,FALSE
calico,238 cm,81 kg,black,TRUE
brown,212 cm,112 kg,green,FALSE
brown,229 cm,102 kg,dark brown,TRUE
red,200 cm,80 kg,green,FALSE
white,224 cm,99 kg,black,TRUE
white,222 cm,109 kg,green,TRUE
dark grey,250 cm,127 kg,black,TRUE
grey,242 cm,93 kg,black,TRUE
grey,212 cm,104 kg,green,FALSE
orange,212 cm,81 kg,dark brown,FALSE
grey,240 cm,115 kg,black,TRUE
dark grey,244 cm,114 kg,black,TRUE
calico,230 cm,137 kg,blue,TRUE
grey,228 cm,138 kg,black,TRUE
grey,222 cm,81 kg,black,TRUE
brown,207 cm,118 kg,brown,FALSE
calico,217 cm,138 kg,black,FALSE
grey,211 cm,138 kg,dark brown,FALSE
calico,219 cm,86 kg,green,FALSE
black,237 cm,83 kg,blue,TRUE
white,250 cm,86 kg,green,TRUE
orange,232 cm,105 kg,brown,TRUE
grey,235 cm,125 kg,dark brown,TRUE
black,233 cm,126 kg,blue,TRUE
orange,249 cm,97 kg,brown,TRUE
dark grey,238 cm,111 kg,dark brown,TRUE
calico,222 cm,96 kg,green,TRUE
orange,215 cm,96 kg,black,FALSE
grey,203 cm,123 kg,dark brown,FALSE
brown,213 cm,123 kg,blue,FALSE
brown,238 cm,127 kg,black,TRUE
black,205 cm,130 kg,black,FALSE
brown,212 cm,119 kg,green,FALSE
calico,227 cm,98 kg,green,TRUE
red,243 cm,131 kg,black,TRUE
grey,243 cm,97 kg,black,TRUE
orange,247 cm,84 kg,blue,TRUE
red,220 cm,96 kg,black,TRUE
calico,218 cm,87 kg,black,FALSE
orange,216 cm,109 kg,blue,FALSE
brown,209 cm,110 kg,brown,FALSE
brown,215 cm,80 kg,black,FALSE
dark grey,207 cm,101 kg,black,FALSE
brown,234 cm,108 kg,dark brown,TRUE
orange,215 cm,136 kg,dark brown,FALSE
calico,227 cm,126 kg,blue,TRUE
orange,218 cm,120 kg,blue,FALSE
brown,227 cm,96 kg,brown,TRUE
brown,210 cm,113 kg,green,FALSE
dark grey,225 cm,87 kg,brown,TRUE
black,215 cm,121 kg,green,FALSE
white,238 cm,86 kg,dark brown,TRUE
red,221 cm,109 kg,dark brown,TRUE
calico,237 cm,102 kg,dark brown,TRUE
white,239 cm,139 kg,brown,TRUE
brown,242 cm,140 kg,dark brown,TRUE
red,218 cm,112 kg,black,FALSE
brown,243 cm,110 kg,green,TRUE
red,230 cm,123 kg,dark brown,TRUE
orange,240 cm,96 kg,black,TRUE
white,211 cm,112 kg,black,TRUE
orange,240 cm,115 kg,blue,TRUE
brown,215 cm,106 kg,brown,FALSE
grey,243 cm,83 kg,green,TRUE
brown,241 cm,125 kg,dark brown,TRUE
white,230 cm,139 kg,brown,TRUE
brown,235 cm,95 kg,blue,TRUE
white,214 cm,93 kg,blue,TRUE
calico,217 cm,136 kg,green,FALSE
calico,238 cm,97 kg,green,TRUE
white,227 cm,140 kg,black,TRUE
dark grey,245 cm,103 kg,blue,TRUE
calico,201 cm,84 kg,green,FALSE
grey,239 cm,122 kg,black,TRUE
black,206 cm,86 kg,black,FALSE
dark grey,212 cm,97 kg,black,FALSE
dark grey,227 cm,92 kg,blue,TRUE
white,240 cm,112 kg,brown,TRUE
dark grey,208 cm,96 kg,black,FALSE
red,204 cm,96 kg,brown,FALSE
orange,233 cm,107 kg,dark brown,TRUE
grey,230 cm,123 kg,brown,TRUE
black,248 cm,80 kg,brown,TRUE
grey,241 cm,109 kg,black,TRUE
white,228 cm,86 kg,green,TRUE
white,232 cm,85 kg,blue,TRUE
calico,218 cm,127 kg,brown,FALSE
calico,246 cm,98 kg,blue,TRUE
black,244 cm,115 kg,black,TRUE
calico,222 cm,91 kg,dark brown,TRUE
black,205 cm,98 kg,brown,FALSE
grey,218 cm,91 kg,brown,FALSE
dark grey,222 cm,92 kg,black,TRUE
grey,213 cm,93 kg,black,FALSE
dark grey,240 cm,140 kg,black,TRUE
calico,241 cm,95 kg,black,TRUE
brown,228 cm,115 kg,green,TRUE
grey,200 cm,139 kg,green,FALSE
brown,206 cm,124 kg,brown,FALSE
dark grey,236 cm,109 kg,black,TRUE
brown,244 cm,111 kg,brown,TRUE
brown,247 cm,81 kg,green,TRUE
black,243 cm,90 kg,dark brown,TRUE
white,248 cm,123 kg,blue,TRUE
black,215 cm,105 kg,dark brown,FALSE
white,244 cm,134 kg,blue,TRUE
grey,249 cm,118 kg,black,TRUE
orange,248 cm,110 kg,dark brown,TRUE
calico,250 cm,115 kg,black,TRUE
grey,235 cm,124 kg,green,TRUE
dark grey,243 cm,82 kg,green,TRUE
calico,212 cm,118 kg,blue,FALSE
grey,214 cm,91 kg,brown,FALSE
black,200 cm,97 kg,blue,FALSE
orange,204 cm,102 kg,green,FALSE
black,211 cm,140 kg,black,FALSE
brown,243 cm,137 kg,black,TRUE
calico,224 cm,88 kg,blue,TRUE
orange,233 cm,97 kg,dark brown,TRUE
dark grey,214 cm,106 kg,brown,FALSE
red,243 cm,90 kg,black,TRUE
dark grey,250 cm,111 kg,black,TRUE
orange,225 cm,124 kg,black,TRUE
black,206 cm,133 kg,blue,FALSE
brown,244 cm,121 kg,black,TRUE
brown,214 cm,108 kg,brown,FALSE
white,207 cm,125 kg,black,TRUE
calico,214 cm,126 kg,green,FALSE
red,234 cm,86 kg,black,TRUE
red,229 cm,125 kg,black,TRUE
red,217 cm,123 kg,dark brown,FALSE
black,216 cm,118 kg,green,FALSE
brown,243 cm,88 kg,brown,TRUE
black,224 cm,114 kg,dark brown,TRUE
white,247 cm,108 kg,black,TRUE
white,220 cm,98 kg,blue,TRUE
orange,247 cm,107 kg,brown,TRUE
black,206 cm,125 kg,blue,FALSE
red,215 cm,136 kg,green,FALSE
brown,225 cm,95 kg,black,TRUE
calico,218 cm,137 kg,black,FALSE
white,231 cm,115 kg,green,TRUE
black,237 cm,105 kg,dark brown,TRUE
black,220 cm,114 kg,blue,TRUE
dark grey,244 cm,105 kg,black,TRUE
brown,223 cm,134 kg,green,TRUE
grey,214 cm,90 kg,dark brown,FALSE
grey,204 cm,131 kg,dark brown,FALSE
dark grey,235 cm,129 kg,green,TRUE
brown,220 cm,139 kg,black,TRUE
brown,206 cm,87 kg,black,FALSE
grey,220 cm,109 kg,brown,TRUE
calico,229 cm,81 kg,blue,TRUE
orange,226 cm,92 kg,green,TRUE
white,201 cm,95 kg,blue,TRUE
black,218 cm,83 kg,black,FALSE
dark grey,211 cm,119 kg,green,FALSE
grey,214 cm,122 kg,black,FALSE
orange,243 cm,137 kg,blue,TRUE
grey,232 cm,126 kg,dark brown,TRUE
grey,231 cm,112 kg,green,TRUE
white,209 cm,120 kg,black,TRUE
calico,241 cm,81 kg,dark brown,TRUE
grey,207 cm,120 kg,black,FALSE
dark grey,244 cm,97 kg,dark brown,TRUE
white,214 cm,121 kg,black,TRUE
brown,238 cm,99 kg,dark brown,TRUE
orange,232 cm,120 kg,brown,TRUE
brown,214 cm,129 kg,blue,FALSE
grey,230 cm,121 kg,blue,TRUE
brown,221 cm,93 kg,brown,TRUE
dark grey,232 cm,81 kg,dark brown,TRUE
grey,208 cm,88 kg,black,FALSE
dark grey,249 cm,89 kg,brown,TRUE
calico,222 cm,130 kg,blue,TRUE
brown,241 cm,103 kg,brown,TRUE
brown,228 cm,86 kg,brown,TRUE
brown,231 cm,85 kg,blue,TRUE
dark grey,230 cm,113 kg,blue,TRUE
orange,233 cm,123 kg,blue,TRUE
brown,228 cm,113 kg,blue,TRUE
white,247 cm,129 kg,black,TRUE
grey,247 cm,90 kg,blue,TRUE
calico,211 cm,85 kg,black,FALSE
dark grey,236 cm,98 kg,brown,TRUE
grey,228 cm,123 kg,blue,TRUE
white,214 cm,120 kg,brown,TRUE
orange,200 cm,113 kg,dark brown,FALSE
black,248 cm,87 kg,dark brown,TRUE
black,213 cm,122 kg,black,FALSE
red,224 cm,125 kg,brown,TRUE
orange,215 cm,116 kg,green,FALSE
white,215 cm,119 kg,green,TRUE
red,248 cm,118 kg,dark brown,TRUE
dark grey,249 cm,98 kg,green,TRUE
dark grey,203 cm,134 kg,blue,FALSE
red,227 cm,94 kg,blue,TRUE
brown,228 cm,110 kg,dark brown,TRUE
orange,229 cm,86 kg,brown,TRUE
brown,205 cm,107 kg,black,FALSE
black,224 cm,92 kg,black,TRUE
dark grey,212 cm,86 kg,black,FALSE
black,215 cm,84 kg,brown,FALSE
red,221 cm,88 kg,black,TRUE
calico,237 cm,131 kg,black,TRUE
grey,209 cm,113 kg,black,FALSE
brown,237 cm,93 kg,blue,TRUE
calico,206 cm,137 kg,black,FALSE
orange,230 cm,103 kg,green,TRUE
calico,219 cm,101 kg,brown,FALSE
calico,210 cm,99 kg,black,FALSE
black,237 cm,118 kg,black,TRUE
grey,207 cm,119 kg,dark brown,FALSE
red,236 cm,129 kg,green,TRUE
red,215 cm,103 kg,brown,FALSE
red,223 cm,132 kg,dark brown,TRUE
black,222 cm,111 kg,green,TRUE
orange,236 cm,140 kg,brown,TRUE
calico,242 cm,114 kg,black,TRUE
dark grey,218 cm,113 kg,brown,FALSE
black,222 cm,98 kg,green,TRUE
grey,213 cm,94 kg,brown,FALSE
black,200 cm,95 kg,blue,FALSE
orange,227 cm,109 kg,black,TRUE
grey,216 cm,110 kg,black,FALSE
calico,250 cm,117 kg,blue,TRUE
red,219 cm,132 kg,black,FALSE
calico,229 cm,115 kg,brown,TRUE
dark grey,204 cm,99 kg,green,FALSE
white,247 cm,120 kg,black,TRUE
orange,220 cm,113 kg,black,TRUE
red,250 cm,115 kg,black,TRUE
dark grey,204 cm,140 kg,black,FALSE
calico,245 cm,90 kg,black,TRUE
calico,245 cm,137 kg,blue,TRUE
black,233 cm,119 kg,green,TRUE
calico,209 cm,120 kg,dark brown,FALSE
dark grey,246 cm,117 kg,green,TRUE
red,206 cm,94 kg,black,FALSE
white,212 cm,107 kg,black,TRUE
red,203 cm,133 kg,green,FALSE
orange,207 cm,119 kg,green,FALSE
brown,217 cm,133 kg,blue,FALSE
grey,229 cm,92 kg,green,TRUE
black,228 cm,119 kg,black,TRUE
white,240 cm,113 kg,black,TRUE
dark grey,238 cm,123 kg,black,TRUE
black,248 cm,80 kg,dark brown,TRUE
white,212 cm,104 kg,blue,TRUE
calico,249 cm,115 kg,black,TRUE
grey,206 cm,111 kg,black,FALSE
brown,200 cm,113 kg,brown,FALSE
white,238 cm,135 kg,black,TRUE
calico,231 cm,128 kg,blue,TRUE
white,210 cm,137 kg,black,TRUE
calico,241 cm,98 kg,blue,TRUE
black,211 cm,123 kg,dark brown,FALSE
orange,231 cm,135 kg,black,TRUE
brown,242 cm,101 kg,black,TRUE
white,229 cm,134 kg,brown,TRUE
red,243 cm,100 kg,black,TRUE
grey,201 cm,113 kg,brown,FALSE
brown,228 cm,95 kg,dark brown,TRUE
dark grey,207 cm,121 kg,brown,FALSE
white,233 cm,128 kg,black,TRUE
grey,237 cm,112 kg,black,TRUE
grey,201 cm,107 kg,black,FALSE
white,215 cm,123 kg,green,TRUE
red,245 cm,110 kg,blue,TRUE
brown,227 cm,92 kg,dark brown,TRUE
red,216 cm,107 kg,black,FALSE
grey,223 cm,83 kg,brown,TRUE
dark grey,241 cm,107 kg,green,TRUE
calico,210 cm,135 kg,black,FALSE
white,214 cm,114 kg,brown,TRUE
grey,246 cm,115 kg,black,TRUE
black,227 cm,94 kg,blue,TRUE
red,204 cm,130 kg,brown,FALSE
black,237 cm,92 kg,dark brown,TRUE
orange,241 cm,90 kg,dark brown,TRUE
white,230 cm,87 kg,black,TRUE
white,213 cm,133 kg,black,TRUE
black,248 cm,127 kg,brown,TRUE
dark grey,220 cm,117 kg,blue,TRUE
black,240 cm,139 kg,blue,TRUE
dark grey,247 cm,93 kg,black,TRUE
black,218 cm,104 kg,black,FALSE
red,215 cm,81 kg,green,FALSE
red,228 cm,88 kg,blue,TRUE
grey,236 cm,120 kg,dark brown,TRUE
calico,205 cm,123 kg,green,FALSE
brown,226 cm,113 kg,green,TRUE
orange,234 cm,133 kg,green,TRUE
brown,231 cm,88 kg,blue,TRUE
orange,213 cm,120 kg,black,FALSE
orange,208 cm,108 kg,dark brown,FALSE
dark grey,205 cm,108 kg,black,FALSE
orange,203 cm,140 kg,black,FALSE
orange,233 cm,80 kg,brown,TRUE
dark grey,207 cm,114 kg,green,FALSE
calico,250 cm,134 kg,blue,TRUE
dark grey,216 cm,91 kg,black,FALSE
orange,238 cm,127 kg,dark brown,TRUE
brown,215 cm,126 kg,brown,FALSE
dark grey,220 cm,97 kg,brown,TRUE
calico,212 cm,115 kg,blue,FALSE
black,224 cm,91 kg,blue,TRUE
white,225 cm,80 kg,blue,TRUE
red,234 cm,117 kg,green,TRUE
red,202 cm,120 kg,dark brown,FALSE
black,205 cm,125 kg,brown,FALSE
dark grey,230 cm,117 kg,black,TRUE
red,231 cm,138 kg,brown,TRUE
black,219 cm,116 kg,blue,FALSE
grey,215 cm,133 kg,blue,FALSE
calico,246 cm,138 kg,blue,TRUE
red,208 cm,131 kg,black,FALSE
red,241 cm,83 kg,blue,TRUE
red,202 cm,126 kg,black,FALSE
red,231 cm,100 kg,dark brown,TRUE
orange,219 cm,121 kg,black,FALSE
black,210 cm,104 kg,blue,FALSE
red,250 cm,96 kg,brown,TRUE
red,224 cm,97 kg,black,TRUE
orange,204 cm,92 kg,blue,FALSE
orange,223 cm,131 kg,black,TRUE
brown,247 cm,140 kg,dark brown,TRUE
orange,209 cm,80 kg,dark brown,FALSE
red,220 cm,113 kg,dark brown,TRUE
dark grey,242 cm,83 kg,blue,TRUE
dark grey,214 cm,83 kg,blue,FALSE
orange,237 cm,132 kg,black,TRUE
calico,245 cm,107 kg,black,TRUE
black,243 cm,93 kg,brown,TRUE
white,249 cm,107 kg,dark brown,TRUE
red,237 cm,109 kg,green,TRUE
brown,228 cm,94 kg,black,TRUE
calico,242 cm,135 kg,green,TRUE
grey,249 cm,116 kg,black,TRUE
brown,227 cm,81 kg,black,TRUE
orange,247 cm,117 kg,blue,TRUE
orange,238 cm,120 kg,green,TRUE
black,231 cm,86 kg,black,TRUE
orange,218 cm,126 kg,black,FALSE
white,245 cm,88 kg,black,TRUE
brown,229 cm,108 kg,black,TRUE
calico,202 cm,115 kg,black,FALSE
brown,210 cm,89 kg,dark brown,FALSE
calico,242 cm,96 kg,green,TRUE
grey,243 cm,108 kg,green,TRUE
dark grey,224 cm,85 kg,dark brown,TRUE
orange,249 cm,125 kg,green,TRUE
brown,206 cm,126 kg,blue,FALSE
calico,246 cm,133 kg,green,TRUE
orange,215 cm,94 kg,dark brown,FALSE
calico,231 cm,105 kg,brown,TRUE
grey,236 cm,95 kg,green,TRUE
brown,214 cm,125 kg,black,FALSE
orange,250 cm,101 kg,dark brown,TRUE
white,227 cm,131 kg,green,TRUE
black,230 cm,123 kg,dark brown,TRUE
dark grey,209 cm,119 kg,green,FALSE
grey,247 cm,128 kg,brown,TRUE
black,220 cm,127 kg,dark brown,TRUE
red,242 cm,130 kg,black,TRUE
dark grey,249 cm,105 kg,dark brown,TRUE
orange,209 cm,113 kg,brown,FALSE
brown,202 cm,130 kg,brown,FALSE
red,211 cm,114 kg,dark brown,FALSE
orange,201 cm,134 kg,green,FALSE
grey,221 cm,102 kg,brown,TRUE
orange,223 cm,121 kg,brown,TRUE
calico,206 cm,140 kg,blue,FALSE
grey,214 cm,114 kg,brown,FALSE
grey,207 cm,84 kg,black,FALSE
brown,216 cm,84 kg,brown,FALSE
dark grey,236 cm,99 kg,dark brown,TRUE
calico,223 cm,136 kg,black,TRUE
grey,221 cm,94 kg,brown,TRUE
white,214 cm,114 kg,green,TRUE
black,229 cm,86 kg,black,TRUE
black,217 cm,132 kg,green,FALSE
white,227 cm,124 kg,brown,TRUE
black,246 cm,85 kg,dark brown,TRUE
grey,250 cm,119 kg,brown,TRUE
dark grey,201 cm,129 kg,dark brown,FALSE
black,205 cm,111 kg,black,FALSE
grey,205 cm,97 kg,brown,FALSE
white,215 cm,96 kg,green,TRUE
red,220 cm,112 kg,brown,TRUE
white,225 cm,113 kg,black,TRUE
black,245 cm,118 kg,green,TRUE
calico,243 cm,110 kg,green,TRUE
brown,200 cm,92 kg,green,FALSE
calico,229 cm,130 kg,black,TRUE
white,237 cm,84 kg,dark brown,TRUE
red,224 cm,108 kg,green,TRUE
brown,227 cm,108 kg,green,TRUE
black,214 cm,119 kg,green,FALSE
red,214 cm,114 kg,brown,FALSE
dark grey,243 cm,105 kg,black,TRUE
dark grey,249 cm,107 kg,blue,TRUE
dark grey,229 cm,101 kg,dark brown,TRUE
white,247 cm,116 kg,blue,TRUE
black,200 cm,126 kg,blue,FALSE
grey,201 cm,96 kg,blue,FALSE
grey,239 cm,124 kg,dark brown,TRUE
dark grey,233 cm,105 kg,dark brown,TRUE
brown,222 cm,81 kg,blue,TRUE
calico,250 cm,98 kg,green,TRUE
red,205 cm,120 kg,brown,FALSE
grey,202 cm,134 kg,black,FALSE
dark grey,231 cm,127 kg,green,TRUE
dark grey,230 cm,98 kg,green,TRUE
calico,239 cm,128 kg,green,TRUE
dark grey,250 cm,113 kg,dark brown,TRUE
brown,235 cm,104 kg,black,TRUE
white,227 cm,112 kg,brown,TRUE
brown,234 cm,107 kg,green,TRUE
orange,206 cm,126 kg,brown,FALSE
black,232 cm,91 kg,blue,TRUE
red,208 cm,133 kg,green,FALSE
orange,225 cm,112 kg,green,TRUE
grey,208 cm,83 kg,green,FALSE
orange,227 cm,88 kg,dark brown,TRUE
white,203 cm,93 kg,green,TRUE
orange,233 cm,80 kg,green,TRUE
white,229 cm,82 kg,blue,TRUE
white,246 cm,115 kg,black,TRUE
dark grey,201 cm,137 kg,blue,FALSE
grey,248 cm,131 kg,green,TRUE
red,234 cm,98 kg,brown,TRUE
dark grey,226 cm,102 kg,black,TRUE
white,239 cm,107 kg,brown,TRUE
black,216 cm,136 kg,brown,FALSE
black,237 cm,129 kg,dark brown,TRUE
brown,201 cm,117 kg,black,FALSE
black,228 cm,106 kg,blue,TRUE
dark grey,219 cm,98 kg,green,FALSE
brown,243 cm,82 kg,brown,TRUE
orange,210 cm,95 kg,brown,FALSE
black,248 cm,83 kg,green,TRUE
white,240 cm,107 kg,blue,TRUE
dark grey,204 cm,113 kg,dark brown,FALSE
black,239 cm,139 kg,brown,TRUE
grey,234 cm,93 kg,brown,TRUE
calico,225 cm,131 kg,blue,TRUE
brown,249 cm,91 kg,dark brown,TRUE
red,234 cm,136 kg,black,TRUE
dark grey,242 cm,80 kg,green,TRUE
red,222 cm,111 kg,brown,TRUE
black,236 cm,139 kg,black,TRUE
white,244 cm,86 kg,black,TRUE
brown,231 cm,109 kg,black,TRUE
grey,231 cm,105 kg,dark brown,TRUE
orange,250 cm,86 kg,black,TRUE
white,206 cm,94 kg,brown,TRUE
brown,205 cm,138 kg,black,FALSE
white,205 cm,104 kg,blue,TRUE
grey,236 cm,133 kg,blue,TRUE
grey,218 cm,120 kg,dark brown,FALSE
brown,238 cm,117 kg,blue,TRUE
brown,217 cm,99 kg,brown,FALSE
grey,232 cm,94 kg,black,TRUE
calico,235 cm,95 kg,blue,TRUE
orange,233 cm,118 kg,green,TRUE
orange,201 cm,107 kg,dark brown,FALSE
dark grey,247 cm,139 kg,green,TRUE
black,219 cm,89 kg,brown,FALSE
black,246 cm,89 kg,green,TRUE
black,245 cm,129 kg,black,TRUE
dark grey,213 cm,108 kg,black,FALSE
red,237 cm,120 kg,black,TRUE
black,231 cm,127 kg,black,TRUE
brown,208 cm,120 kg,dark brown,FALSE
dark grey,230 cm,107 kg,dark brown,TRUE
grey,231 cm,112 kg,blue,TRUE
grey,230 cm,93 kg,brown,TRUE
brown,229 cm,110 kg,dark brown,TRUE
orange,202 cm,132 kg,black,FALSE
dark grey,224 cm,135 kg,black,TRUE
orange,218 cm,112 kg,black,FALSE
dark grey,222 cm,134 kg,dark brown,TRUE
red,218 cm,95 kg,black,FALSE
brown,203 cm,107 kg,black,FALSE
red,228 cm,97 kg,black,TRUE
dark grey,240 cm,92 kg,green,TRUE
white,211 cm,130 kg,brown,TRUE
dark grey,242 cm,93 kg,black,TRUE
white,227 cm,120 kg,black,TRUE
brown,211 cm,132 kg,black,FALSE
black,221 cm,92 kg,green,TRUE
white,246 cm,116 kg,brown,TRUE
black,230 cm,118 kg,blue,TRUE
red,203 cm,92 kg,brown,FALSE
white,248 cm,105 kg,dark brown,TRUE
white,222 cm,93 kg,green,TRUE
red,239 cm,132 kg,green,TRUE
dark grey,221 cm,134 kg,black,TRUE
calico,222 cm,128 kg,green,TRUE
white,202 cm,132 kg,blue,TRUE
white,204 cm,112 kg,black,TRUE
dark grey,248 cm,116 kg,brown,TRUE
black,211 cm,83 kg,blue,FALSE
dark grey,225 cm,83 kg,green,TRUE
orange,238 cm,84 kg,black,TRUE
red,239 cm,115 kg,black,TRUE
white,235 cm,80 kg,dark brown,TRUE
dark grey,230 cm,120 kg,dark brown,TRUE
grey,244 cm,92 kg,brown,TRUE
white,200 cm,130 kg,dark brown,TRUE
black,224 cm,98 kg,green,TRUE
white,210 cm,108 kg,blue,TRUE
orange,204 cm,113 kg,black,FALSE
grey,211 cm,125 kg,green,FALSE
white,229 cm,101 kg,blue,TRUE
brown,234 cm,90 kg,brown,TRUE
red,209 cm,90 kg,dark brown,FALSE
brown,207 cm,107 kg,black,FALSE
orange,231 cm,81 kg,black,TRUE
dark grey,224 cm,123 kg,black,TRUE
red,236 cm,118 kg,blue,TRUE
black,228 cm,106 kg,black,TRUE
grey,223 cm,113 kg,dark brown,TRUE
grey,211 cm,89 kg,blue,FALSE
brown,230 cm,137 kg,blue,TRUE
brown,231 cm,100 kg,black,TRUE
dark grey,239 cm,90 kg,blue,TRUE
calico,231 cm,94 kg,brown,TRUE
brown,204 cm,130 kg,brown,FALSE
dark grey,224 cm,93 kg,blue,TRUE
red,247 cm,129 kg,black,TRUE
grey,205 cm,109 kg,black,FALSE
red,204 cm,121 kg,black,FALSE
orange,224 cm,103 kg,green,TRUE
white,201 cm,86 kg,black,TRUE
brown,220 cm,96 kg,dark brown,TRUE
brown,239 cm,81 kg,brown,TRUE
white,220 cm,139 kg,green,TRUE
